"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"5 Dark Souls",1996,94,1500,7.3,11,14.5,0,0,4.5,0,0,4.5,4.5,4.5,44.5,"",1,0,0,0,0,0,0
"5 Dead on the Crimson Canvas",1996,96,25000,2,24,14.5,4.5,0,0,4.5,0,4.5,14.5,24.5,24.5,"",0,0,0,0,0,0,0
"50 First Dates",2004,99,75000000,6.8,13497,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0
"51st State, The",2001,92,28000000,6.1,6752,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"54",1998,100,13000000,5.4,6905,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"6th Day, The",2000,123,82000000,5.9,12064,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"72 metra",2004,100,1600000,6,147,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",1,0,0,1,0,0,0
"8 Mile",2002,110,41000000,6.8,17900,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0
"8MM",1999,123,40000000,5.9,18541,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"ABCD",1999,105,200000,5.4,88,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"AVP: Alien Vs. Predator",2004,102,45000000,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Abandon",2002,99,25000000,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Abby Singer",2003,79,1500,3.5,39,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,45.5,"",0,0,0,0,0,0,0
"Aberdeen",2000,106,6500000,7.3,644,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"",0,0,0,1,0,0,0
"Able Edwards",2004,87,30000,6.2,24,14.5,4.5,4.5,0,0,14.5,14.5,14.5,24.5,14.5,"",0,0,0,1,0,0,0
"About Schmidt",2002,125,30000000,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,1,0,0,0
"About a Boy",2002,101,27000000,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"PG-13",0,0,1,1,0,0,0
"Absolon",2003,96,8000000,4.1,548,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Absolute Power",1997,121,50000000,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Accountant, The",1999,50,5000,6.3,19,4.5,0,4.5,4.5,4.5,0,24.5,4.5,24.5,34.5,"",1,0,0,0,0,0,0
"Ace Ventura: Pet Detective",1994,86,12000000,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Actors Anonymous: The Truth Behind the Dream",2003,60,30000,3.2,8,45.5,14.5,0,0,0,0,14.5,0,0,24.5,"",0,0,0,0,1,0,0
"Acts of Betrayal",1997,90,3000000,4.6,94,4.5,14.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Adaptation.",2002,114,19000000,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Addams Family, The",1991,99,38000000,6.4,11549,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Adventures of Elmo in Grouchland, The",1999,89,17000000,5.5,420,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0
"Adventures of Huck Finn, The",1993,108,6500000,5.9,1134,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Adventures of Pinocchio, The",1996,92,25000000,5.6,577,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,1,1,0,0,0,0
"Affliction",1997,114,6000000,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"After Image",2001,92,1200000,3.9,60,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"After Sex",2000,96,5000000,4.5,205,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,1,0,1,0
"After the Sunset",2004,97,58000000,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Age of Innocence, The",1993,139,34000000,7.1,6049,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,0,1,0,1,0
"Agent Cody Banks",2003,102,26000000,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Agent Cody Banks 2: Destination London",2004,100,26000000,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Aida degli alberi",2001,75,7000000,4.3,16,24.5,4.5,0,14.5,4.5,0,14.5,24.5,0,4.5,"",0,1,0,0,0,0,0
"Aimee Semple McPherson",2004,112,500000,8.4,8,14.5,0,0,0,0,0,0,14.5,24.5,45.5,"",0,0,0,1,0,0,0
"Air Bud",1997,98,3000000,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"Air Force One",1997,124,85000000,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Air Marshal",2003,90,500000,3,81,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,0,0,0,0
"Airborne",1993,91,2600000,5.2,1047,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0
"Akasha",2001,82,1500,7.3,29,24.5,0,4.5,0,0,0,4.5,14.5,34.5,24.5,"",0,0,0,0,0,0,0
"Akumulator 1",1994,102,2000000,7.1,272,4.5,0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,"",0,0,1,0,0,0,0
"Aladdin",1992,90,28000000,7.6,22499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",0,1,1,0,0,0,0
"Alamo, The",2004,137,95000000,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Albino Alligator",1996,97,5000000,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alex's Apartment",1992,80,45000,6.8,6,0,0,0,0,14.5,34.5,14.5,14.5,14.5,0,"",0,0,0,0,0,0,0
"Alexander",2004,175,150000000,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Alferd Packer: The Musical",1996,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,1,0,0,1,0
"Alfie",2004,103,60000000,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Ali",2001,165,107000000,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alias",2002,98,1500000,5.7,266,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Alice",1990,102,12000000,6.4,1706,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,1,0,1,0
"Alien Abduction",2005,90,600000,1.9,73,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Alien Escape",1997,85,1000000,5.6,23,14.5,0,4.5,4.5,0,14.5,14.5,0,14.5,34.5,"R",0,0,0,0,0,0,0
"Alien: Resurrection",1997,116,70000000,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Alive",1993,127,32000000,6.7,5786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"",1,0,0,1,0,0,0
"All About the Benjamins",2002,95,14000000,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0
"All the Pretty Horses",2000,116,45000000,5.6,3133,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"All the Queen's Men",2001,105,25000000,5,353,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,1,1,0,0,0
"All the Real Girls",2003,108,1000000,6.8,1745,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,1,0
"All the Stage Is a World",2005,89,12000,7,7,14.5,0,0,0,14.5,0,14.5,24.5,0,24.5,"",0,0,1,1,1,0,0
"All the Vermeers in New York",1990,87,250000,5.9,126,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,1,1,0,1,0
"Alligator II: The Mutation",1991,92,3000000,2.7,282,34.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Almost Famous",2000,162,60000000,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Alone in the Dark",2005,96,20000000,2.1,2880,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Along Came Polly",2004,90,42000000,5.8,9785,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Along Came a Spider",2001,104,28000000,6.1,9456,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Along for the Ride",2000,99,150000,7.6,15,0,0,0,0,0,0,24.5,34.5,0,44.5,"",0,0,0,0,0,0,0
"Ame agaru",1999,91,3800000,7.8,448,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"",0,0,0,1,0,0,0
"America's Sweethearts",2001,102,48000000,5.8,11849,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"American Beauty",1999,121,15000000,8.5,109991,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"R",0,0,0,1,0,0,0
"American Desi",2001,100,250000,6.8,291,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",0,0,1,1,0,1,0
"American History X",1998,119,10000000,8.4,59677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"American Me",1992,125,16000000,6.6,697,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,14.5,"",0,0,0,1,0,0,0
"American Outlaws",2001,94,35000000,5.5,2878,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,0,1,0,0,0,0
"American Pie",1999,95,11000000,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"American Pie 2",2001,105,30000000,6.3,22752,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"American President, The",1995,114,62000000,6.9,11834,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,1,1,0,1,0
"American Psycho",2000,102,8000000,6.8,21639,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"American Wedding",2003,103,55000000,6.3,13590,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"American Werewolf in Paris, An",1997,105,22000000,5,4302,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,1,0
"American Yearbook",2004,90,500000,9.3,23,0,0,0,0,0,0,4.5,14.5,14.5,64.5,"",0,0,0,0,0,0,0
"Amistad",1997,152,40000000,7,10543,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Amityville Horror, The",2005,90,18000000,5.8,2945,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Amor y el espanto, El",2001,110,650000,7,7,0,14.5,0,0,0,0,45.5,0,14.5,14.5,"",0,0,0,1,0,0,0
"Amores perros",2000,153,2000000,8.2,15079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Anaconda",1997,89,45000000,4.1,10510,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Anacondas: The Hunt for the Blood Orchid",2004,97,25000000,4.2,2258,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,0,0,0,0,0
"Analyze This",1999,109,30000000,6.6,24521,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Anastasia",1997,94,53000000,6.5,4896,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",0,1,0,0,0,0,0
"Anatomy of a Fight",2003,80,17000,6.5,24,4.5,0,0,0,0,4.5,4.5,24.5,44.5,24.5,"",0,0,1,1,0,0,0
"Anchorman: The Legend of Ron Burgundy",2004,104,26000000,6.5,11553,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"And I Lived",2005,107,20000,9.4,5,0,0,0,0,0,0,0,24.5,24.5,64.5,"",0,0,0,1,0,0,0
"And Then Came Summer",2000,115,2300,4.1,60,24.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,0,14.5,"",0,0,0,1,0,0,0
"Angel Eyes",2001,102,38000000,5.6,4829,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Angela's Ashes",1999,145,25000000,6.8,4347,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,0,1,0,0,0
"Anger Management",2003,106,75000000,6,14280,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Animal, The",2001,84,22000000,4.8,5605,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Anna and the King",1999,148,75000000,6.6,6739,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,0,1,0,1,0
"Another You",1991,94,26000000,4.4,398,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Anthrax",2001,90,2500000,4.1,49,14.5,4.5,14.5,14.5,24.5,14.5,4.5,0,0,4.5,"",0,0,0,1,0,0,0
"Antikiller",2002,114,5000000,5.4,231,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",1,0,0,0,0,0,0
"Antitrust",2001,108,30000000,6,7326,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Antman, The",2002,94,800000,7.2,53,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,24.5,"",0,0,1,0,0,0,0
"Antwone Fisher",2002,117,12500000,7.4,4472,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Antz",1998,83,60000000,7,16312,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG",0,1,1,0,0,0,0
"Anus Magillicutty",2003,70,5000,1.8,488,74.5,4.5,4.5,0,4.5,0,4.5,4.5,4.5,24.5,"",0,0,1,0,0,1,0
"Any Given Sunday",1999,156,62000000,6.4,19531,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Anything Else",2003,108,18000000,6.5,3678,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0
"Anywhere But Here",1999,114,23000000,5.9,4007,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Aparte",2002,91,90000,8.5,24,0,4.5,4.5,0,4.5,0,14.5,14.5,24.5,34.5,"",0,0,0,1,1,0,0
"Apollo 13",1995,140,62000000,7.5,41098,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,0,1,0,0,0
"Apostle, The",1997,134,5000000,7.2,4231,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Appointment, The",1996,89,45000,5.3,8,0,0,0,0,24.5,0,14.5,14.5,14.5,34.5,"",0,0,0,0,0,0,0
"Apt Pupil",1998,112,14000000,6.4,6728,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Arachnophobia",1990,103,31000000,6.1,8608,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Are We There Yet?",2005,95,32000000,3.5,1043,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG",0,0,1,0,0,0,0
"Argentino en New York, Un",1998,95,3000000,4.2,49,24.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,0,14.5,"",0,0,1,1,0,0,0
"Arlington Road",1999,117,21500000,7.1,17189,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Armageddon",1998,153,140000000,5.7,45330,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Army of Darkness",1993,96,11000000,7.4,22118,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",1,0,1,0,0,0,0
"Around the Fire",1999,106,1200000,5.3,254,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Around the World in 80 Days",2004,120,110000000,5.7,3887,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG",1,0,1,0,0,1,0
"Arrangement",2004,109,3200000,9.2,23,4.5,0,0,0,0,0,4.5,4.5,24.5,64.5,"",0,0,1,0,0,1,0
"Artificial Intelligence: AI",2001,146,90000000,6.8,36623,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"As Good as It Gets",1997,139,50000000,7.7,47441,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",0,0,1,1,0,1,0
"Ascension",2004,85,5500,8.8,12,4.5,0,0,0,0,0,0,14.5,4.5,64.5,"",0,0,0,1,0,0,0
"Asesino en serio",2002,84,2500000,5.8,90,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Assassins",1995,132,50000000,5.7,7354,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Assault on Precinct 13",2005,109,20000000,6.3,2960,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Assisted Living",2003,78,500000,7.4,56,4.5,4.5,4.5,14.5,4.5,4.5,14.5,14.5,4.5,34.5,"",0,0,1,1,0,0,0
"Asterix in Amerika",1994,85,12500000,5.4,394,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,1,1,0,0,0,0
"Astronaut's Wife, The",1999,109,34000000,4.8,7253,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Aswang",1994,82,70000,4.6,89,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"",0,0,0,0,0,0,0
"At First Sight",1999,128,40000000,5.7,3441,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"At Night with No Curtains",2004,87,8000,2.7,23,4.5,0,4.5,4.5,4.5,0,0,0,4.5,74.5,"",0,0,0,1,0,0,0
"Atlantida",2002,93,1000000,7.6,9,0,0,14.5,14.5,14.5,0,0,24.5,0,44.5,"",0,0,0,1,0,1,0
"Atlantis: The Lost Empire",2001,95,90000000,6.4,6323,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG",1,1,0,0,0,0,0
"Attic Expeditions, The",2001,100,1000000,5.4,384,4.5,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Aurora",1998,87,90000,4.5,59,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,"",0,0,0,1,1,0,0
"Austin Powers in Goldmember",2002,94,63000000,6.2,22870,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
